term	translation
cataria	qatar \ catar
catastropha	catástrofe
catax	capenga \ manco
catechismus	catecismo \ catequismo \ catecismo
catechismus catholicae ecclesiae	catecismo da igreja católica
catechumenatus	catecumenato \ catecumenato
categoria	categoria \ acusação \ argüição
cateia australiana	bumerangue
catella	cadelinha
catellus	filhote
catena	cadeia \ corrente \ catena \ corrente metálica
catena insularum	grupo insular
caterva	grupo \ multidão \ grupo
catharina	catarina \ cátia \ kátia
catharina aragonensis	catarina de aragão
catharina hepburn	katharine hepburn
catharina huarda	catarina howard
catharina i	catarina i da rússia
catharina ii	catarina
catharina parra	catarina parr
catharinoburgum	ecaterimburgo \ yekaterinburg
cathartes aura	urubu-de-cabeça-vermelha
cathartes burrovianus	urubu-de-cabeça-amarela
cathartes melambrotus	urubu-da-mata
cathedra	cadeira \ assento \ cátedra \ poltrona \ cátedra
cathedra petri	cátedra de são pedro
cathedralis	catedral \ catedral
catherina	catarina
catheter	cateter
catholicam	católica
catholicus	católico \ genérico \ geral
cathurnus	orgulho
catilina	lúcio sérgio catilina
catillus	prato \ taça \ xícara
catina	catânia
catoitalica	grico salentino
catta	gata \ gato
catto	catar \ gata \ gato
cattus	gato \ gata \ gato doméstico
catulaster	garoto \ mancebo \ menino
catulus	filhote \ jovem \ filhote de cachorro
catulus ursi	filhote de urso
catus	gato
cau	banana
caucasus	cáucaso
cauda	cauda \ rabo \ abas
caudalis	caudal
caudex	livro \ lista \ bloco
caudica	canoa \ canoa
caulae	cava \ cavidade \ oco \ poro
cauliculus bruxellanus	couve-de-bruxelas
caulis	caule \ haste \ talo \ caule
caulophrynidae	caulophrynidae
caupona	restaurante \ hotel
caupona cafearia	café
caupona castrensis	cantina
causa	causa \ razão \ artigo \ causa
causa sui	causa em si
causalitas	causalidade
causarius	doente
causea	abrigo
causidicatus	forense
causidicus	advogado \ defensor
caute	cuidadosamente \ cautelosamente
cautela	cautela \ caução \ cuidado
cautio	cautela \ caução \ cuidado \ precaução
cautum	couto
cautus	prudente \ cauteloso \ benigno
cavallus	cavalo
cavamen	caverna \ gruta
cavare	escavar \ cavar \ excavar
cavatus	cavado
cave	se cuida
cavea	cava \ cavidade \ colméia
caveo	cuidar de \ cuidar-se \ prever \ ter cuidado
caverna	caverna \ gruta \ abertura \ orifício
caverna navigii	estiva \ porão
caverno	cavar
cavernosus	cavernoso
cavete	se cuida
cavia porcellus	porquinho-da-índia \ cobaia \ preá-da-índia
cavillari	discutir \ preocupar-se \ preocuparse \ preocuparse com minúcias
cavillatio	paródia \ parodia
cavitas abdominis	cavidade abdominal
cavitas thoracis	cavidade torácica
cavo	cavar \ escavar
cavositas	cavidade
cavum	cava \ cavidade \ depressão
cavum abdominis	cavidade abdominal
cavum dentis	cárie dentária \ cárie dentária
cavum nasi	fossa nasal
cavus	oco \ cava \ cavidade
caxamarca	cajamarca
cayum	cayo
cazastania	cazaquistão
ccaa	colônia \ colónia
ce	cê
ceara	ceará
ceba	ceva
cebu	cebu
cechia	chéquia \ tchéquia \ república checa
cechoslovacia	checoslováquia
cecitas	cegueira
cedefop	agências da união europeia
cedere	andar
cedilla	cedilha
cedo	andar
cedrus	cedro \ cedro \ cedro
cela	aposento \ câmara \ quarto \ sala
celare	esconder \ acobertar \ ocultar
celastraceae	celastráceas
cele	hérnia
celeber	célebre \ famoso \ ilustre
celebrare	celebrar \ festejar \ comemorar
celebratio	audiência
celebritas	tráfego
celebrity	celebridade
celebro	celebrar
celeia	celje
celer	rápido \ célere \ ligeiro
celerit	rápido \ velocidade
celeritas	velocidade \ celeridade \ rapidez
celeritas lucis	velocidade da luz \ velocidade da luz
celeritas soni	velocidade do som
celeriter	rapidamente \ rápido
celero	acelerar \ apressar \ correr
celestis	divindade
cella	aposento \ câmara \ quarto \ cela
cella penaria	despensa
cellariolum	quartinho
cellarium	cargo \ emprego \ lugar
cellia clarcsona	kelly clarkson
cellula	célula \ célula
cellula praecursoria	célula-tronco
cellula praecursoria pluripotens inducta	célula-tronco pluripotente induzida
celo	esconder \ acobertar \ ocultar
celsus	alto \ elevado \ eminente \ forte
celtae	celtas \ celtas
celtiber	celtiberos
celtis	celtis
celtus	céltico
cena	jantar \ ceia \ almoço \ ceia
cenaculum	cenáculo \ sótão
cenare	jantar \ comer
cenatio	refeitório \ sala de jantar
cenatorium	sala de jantar
cenit	zénite \ zênite
cenobita	frei \ monge
cenobium	convento \ mosteiro
cenomannica	maine \ maine
cenomannica et liger	maine-et-loire
cenomanum	le mans \ le mans
cenotaphium	cenotáfio \ cenotáfio
censeo	achar \ apreciar \ pensar \ recenseamento
censere	ajuizar \ apreciar \ apreçar
censito	taxação
censor	censor
censorius	censório
censura	censura \ censura
census	censo \ censo demográfico \ censo demográfico
centaurea	centáurea
centauri	centauro
centaurus	centauro \ centaurus \ centauro \ centauro
centenarius	centenário
centenum	centeio
centesima	centésima \ centésimo
centesima prima	centésima primeira \ centésimo primeiro
centesima secunda	centésima segunda \ centésimo segundo
centesimum	centésima \ centésimo
centesimum primum	centésima primeira \ centésimo primeiro
centesimum secundum	centésima segunda \ centésimo segundo
centesimus	centésimo \ centésima
centesimus primus	centésima primeira \ centésimo primeiro
centesimus secundus	centésima segunda \ centésimo segundo
centimetrum	centímetro \ centímetro
centipeda	centopeia
cento	emenda \ remendo \ patchwork
centralis	central
centraliter	centralmente
centrarchidae	centrarchidae
centriolum	centríolo
centriscinae	centriscinae
centrophorus granulosus	centrophorus granulosus
centrophorus lusitanicus	gata-lixa
centrophorus squamosus	centrophorus squamosus
centrum	centro \ centro
centum	cem \ cento
centum duo	cento e dois
centum milia	cem mil
centurio	centurião \ centurião
centurionis	centurião
cepa	cebola
cephalalgia	cefaleia
cephallenia	cefalônia
cephaloedium	cefalù
cephalophinae	cephalophinae
cephalophus rufilatus	cephalophus rufilatus
cephalophus silvicultor	cephalophus silvicultor
cephalopoda	cefalópodes
cepheus	cepheus
cepicium	cebola
cera	cera \ cera de abelha
cera flava	cera de abelha
cerae ultimae	testamento
cerasium	cereja
cerastium arvense	cerastium arvense
cerastium fontanum	cerastium fontanum
cerastium semidecandrum	cerastium semidecandrum
cerasum	cereja
cerasus	cerejeira \ cereja \ giresun \ cereja
ceratina	queratina
ceratonia siliqua	alfarrobeira
ceratotherium simum	rinoceronte-branco
cerberus	cérbero
cercina	ilhas kerkennah
cercocebus torquatus	cercocebus torquatus
cercopithecus ascanius	cercopithecus ascanius
cercopithecus mitis	cercopithecus mitis
cercopoidea	cercopoidea
cercops	macaco \ símio
cerdocyon thous	guaraxaim
cerebellum	cérebro \ cerebelo \ cerebelo
cerebralis	cerebral
cerebrosus	insano \ louco
cerebrum	cérebro \ encéfalo \ cérebro
cereopsis	gansa \ ganso
ceres	ceres \ ceres
cereus	vela \ vela
cerevisia	cerveja
ceritus	insano \ louco
cerium	cério
cernere	joeirar \ peneirar
cerno	discernir \ cindir \ distinguir
cero	encerar
ceroleum	querosene
cerritulus	esquisito
cerritus	esquisito \ insano \ louco
certamen	certame \ combate
certamen armorum	corrida armamentista
certamen singulare	duelo
certe	certamente \ na verdade \ com certeza
certhia brachydactyla	trepadeira-comum
certhiidae	certhiidae
certim	certamente \ certo \ na verdade
certitudo	certeza
certo	certamente \ na verdade
certus	certo \ seguro \ benigno
ceruchus	corda \ espia
cerumen	cerúmen \ cerume \ cerúmen
ceruus	cervo \ veado \ veados
cerva	corça \ cervo \ veado
cerva ж.	cervo m \ veado
cervesia	cerveja
cervical	almofada \ travesseiro
cervidae	cervídeos \ cervídeos
cervisia	cerveja
cervix	pescoço \ nuca \ colo
cervix uteri	colo do útero \ cérvice \ cérvix
cervißia	cerveja
cervus	veado \ cervo \ cervo m \ veado-vermelho \ cervo \ veado
cervus canadensis	uapiti
cervus dama	gamo
ceryx	arauto \ pregoeiro
cessare	parar \ deixar \ interromper
cessatio	férias \ greve \ vacação
cesso	parar \ deixar \ cessar
cestoda	cestoda
cestria	chester
cestria alanus arthur	chester a. arthur
cetacea	cetáceos
cetaceum	espermacete
cetarium	almadrava
cetartiodactyla	cetartiodactyla
cete	baleia
ceterum	ademais \ além disso
ceterus	diferente \ diverso \ outro \ restante
cetium	sankt pölten
cetologia	cetologia
cetorhinus maximus	cetorhinus maximus
cettia diphone	rouxinol-das-caniças
cetus	baleia \ cetus
ceu	como
ceuta	ceuta
cfc genua	genoa cricket and football club
chabichou	chabichou
chachapoias	chachapoyas
chaeronea	queroneia
chaetophractus vellerosus	chaetophractus vellerosus
chalcidice	calcídica
chalcis	arenque \ cálcis
chalcographus	gravador
chalybeus alchymista	fullmetal alchemist
chalybs	aço \ ferro
chama	lince
chamaeleon	camaleão \ chamaeleon \ camaleão
chamaeleonidae	camaleão
chamaemellum	camomila
chamois	khaemuaset
chamomilla	camomila
chamulcus automatarius	trator de esteira
chanaan	canaã
chanatus	canato \ canato
chandigarh	chandigarh
chanis	cã \ khan
channa argus	channa argus
chaos	caos \ fuzuê \ pandemónio \ pandemônio
characidae	characidae
characiformes	characiformes
character	carácter \ caráter
characteristica	característica
characulum	caralho
charadriidae	caradriídeos
charadrius	borrelho
charadrius dubius	borrelho-pequeno-de-coleira \ borrelho-pequeno-de-coleira
charcovia	carcóvia
charilaus tricupes	charílaos trikúpis
charitas	caridade
charo	carne
charon	caronte
charta	papel \ carta \ mapa \ papel
charta a ludo	carta \ carta de baralho
charta argentaria	cédula \ cédula de banco \ nota \ papel-moeda \ papel-moeda
charta aspera	lixa
charta bibula	mata-borrão
charta crassior	papelão
charta hygienica	papel higiênico \ papel higiênico
charta ludens	carta \ carta de baralho
charta ludi	carta \ carta de baralho
charta muraria	papel de parede
charta parietalis	papel de parede \ papel de parede
charta perforata	cartão perfurado
charta purgatoria	papel higiénico \ papel higiênico
charta vitraria	lixa
chartae lusoriae	baralho
chartophylacium	dossiê
chartula hygienica	papel higiênico
chartus	papel
chasma	abismo
chaudhuriidae	chaudhuriidae
chauna torquata	chauna torquata
chaunacidae	chaunacidae
checa	checa
cheddar	cheddar
cheimarrichthys fosteri	cheimarrhichthyidae
cheirogaleus medius	cheirogaleus medius
chelidonium	celidônia \ ceruda \ erva-andorinha \ erva-das-verrugas
chelon labrosus	chelon labrosus
chelonia mydas	tartaruga verde
chelonida	tartaruga marinha
chelonioidea	tartaruga marinha \ chelonioidea
chelus fimbriatus	mata-mata
chelys	tartaruga
chemia	química
chemia analytica	química analítica
chemia inorganica	química inorgânica
chemia organica	química orgânica
chemia organometallica	química organometálica
chemia physica	físico-química
chemia polymerica	química dos polímeros
chemica	química
chemicus	químico
chemiotherapia	quimioterapia
chemnicium	chemnitz
chen	gansa \ ganso
cherub	querubim
cherubim	querubim \ querubim
cherubin	querubim
chespirito	chesperito
chevrolet	chevrolet
chevrotin	chevrotin
cheyenna	cheyenne
chi	chi \ qui
chiasmus	quiasmo
chihuahua	chihuahua
chili	chili
chilia	chile \ chile
chilio-	quilo-
chiliogramma	quilograma \ quilograma
chiliometra horalia	quilômetro por hora \ quilômetro por hora
chiliometrum	quilômetro \ quilómetro
chiliometrum quadratum	quilómetro quadrado
chilopoda	quilópode
chimaera	quimera
chimalpahin	chimalpahin quauhtlehuanitzin
chinchilla	chinchila
chininum	quinina
chios	quios \ cidade de quíos \ quíos
chiovia	kiev
chirgisia	quirguistão \ quirguizistão
chirgisica	quirguiz
chirocma	fabricante
chiroderma trinitatum	chiroderma trinitatum
chiroderma villosum	chiroderma villosum
chirographum	autógrafo \ caligrafia \ letra
chiromantia	quiromancia
chiroptera	morcego
chirotheca	luva
chirurgia	cirurgia \ cirurgia
chirurgia generalis	cirurgia geral
chirurgicus	cirúrgico
chirurgus	cirurgião \ cirurgião
chisinau	chişinău
chitina	quitina \ quitina
chitosani hydrochloridum	quitosana
chlamydoselachus anguineus	tubarão-cobra
chlorium	cloro
chlorophycota	algas verdes
chlorophyllum	clorofila
chlorum	cloro \ cloro
chodchod	tudo
choerogryllus	porco-espim \ porco-espinho
cholangiocarcinoma	colangiocarcinoma
cholera	cólera \ cólera
cholesterol	colesterol
cholesterolum	colesterol
choma	dique \ represa
chondrichthyes	chondrichthyes
chorasmia	corásmia
chorda	corda \ entranhas \ intestinos \ tripas
chorda dorsalis	corda dorsal
chordophonum	cordofone
chorea macchabæorum	dança da morte \ dança macabra
choreographia	coreografia
choreographus	coreógrafo
chorofylaca	gendarmaria
chorofylaki	gendarmaria \ gendarmariafeminino
chorophylace	gendarmaria
chorus	coro \ coral \ estribilho \ coro
chrestomathia	crestomatia \ crestomatia
chrestus	cativo \ escravo
christi natalis	natal \ natal
christiana	cristã \ cristão \ cristã \ cristão \ crista
christiana socialis unio	união social-cristã
christiana sum	eu sou cristã \ eu sou cristão \ sou cristã \ sou cristão
christianae portus	kristinehamn
christianismus	cristianismo \ cristandade
christianitas	cristianismo
christianus	cristão \ cristã \ cristão \ cristã \ crista
christianus de trecis	chrétien de troyes
christianus hugenius	christiaan huygens
christianus i	cristiano i da dinamarca
christianus ii	cristiano ii da dinamarca
christianus sum	eu sou cristã \ eu sou cristão \ sou cristã \ sou cristão
christianus wolffius	christian von wolff
christina	kristina \ cristina \ cristina da suécia
christina aguilera	christina aguilera
christina sturmer	christina stürmer
christologia	cristologia
christophorus	cristóvão \ cristóvão \ antipapa cristóvão \ cristóvão da baviera \ cristóvāo
christophorus brown	chris brown
christophorus columbus	cristóvão colombo
christophorus martinus wieland	christoph martin wieland
christophorus paolini	christopher paolini
christophorus schonborn	christoph schönborn
christophorus wallace	the notorious b.i.g.
christophorus wren	christopher wren
christophus willibald gluck	cristoph willibald gluck
christopolis	christchurch
christus	cristo \ cristo
christus redemptor	cristo redentor
chromatographia	cromatografia
chromatosphaerisis	paintball
chromium	crómio \ cromo \ crômio \ cromo \ crômo
chromobotia macracanthus	bótia-palhaço
chromosoma	cromossomo \ cromossoma \ cromossoma
chronica	crónica \ crônica
chronicon	crónica
chronicum	crónica \ crónico \ crônica
chronicus	crônico \ crónica \ crónico
chronogramma	cronograma
chronologia	cronologia
chruscev	khrushchov
chrysanthemum leucanthemum	bem-me-quer \ margarida
chryselectrum	alambre \ súcino \ âmbar amarelo
chrysemys picta	chrysemys picta
chryseus	dourado
chrysippus	crisipo de solis
chrysocyon brachyurus	lobo-guará
chrysolithos	crisólita \ crisólito \ peridoto \ topázio \ peridoto
chrysoprasius	crisoprásio \ crisoprásio
chrysos	ouro
chrysotopia	gauteng
chymatoploion	graneleiro
chyromantia	quiromancia
ciacalis	chacal
cibaria	alimento \ comida
cibinium	sibiu
ciborium	cibório (arquitetura)
cibum requiro	eu preciso de comida \ preciso de comida
cibus	alimento \ comida \ forragem
cibus meridianus	almoço
cibus vespertinus	jantar \ ceia
cicada	cigarra \ grilo
cicadidae	cigarra
cicaro	moleque de rua
cicatrix	cicatriz \ corte \ fatia \ cicatriz
cicer	testículo \ grão de bico
cicer arietinum	grão-de-bico
cicero	cicero \ cícero
cicha	chicha \ chicha
cichorium	chicória \ chicória
cichorium intybus	chicória
cichorium intybus var. sativum	chicória
cicindela	vaga-lume \ pirilampo
cicindelinae	cicindela
ciclaium	chiclayo
ciconia	cegonha \ guindaste \ cegonha-branca \ cegonha \ cegonha
ciconia ciconia	cegonha \ cegonha-branca
ciconia nigra	cegonha-preta
ciconiidae	ciconídeos
ciconiiformes	ciconiiformes
cicurare	domar
cicuta	cicuta
cidadão	ciues
cidaris	tiara
cifera	cifra
cifra	algarismo \ dígito \ zero
cilcis	kilkis
cilia	pestana \ cílio \ celha \ celha \ chile
cilicia	cilícia
cilicium	cilício
cilium	cílio \ pestana
cimbria	jutlândia
cimeterium	cemitério
cimex	percevejo \ chinche \ percevejo
cimex lectularius	perecevejo-de-cama
cimidae	cimicídeos
cimmerii	cimérios
cinaedus	catamita \ pervertido \ sodomita
cinaesthesia	cinestesia
cinara	alcachofra \ alcachofra hortense \ alcachofra de comer
cincinnati	cincinati \ cincinnati
cincinnatopolis	cincinnati
cincinnatus	com cabelo crespo \ encaracolado \ enrolado \ cincinato
cincinnus	caracóis \ madeixas de cabelo
cinclodes patagonicus	cinclodes patagonicus
cinctus	cinto
cinemateum	sala de cinema \ sala de cinema
cinematogramma	cinematografia
cinematographia	cinematografia
cinematographus	cinematógrafo
cineraceus	cinza
cinerarium	urna cinerária
cinerea	cinza \ cinzenta \ cinzento \ gris
cinerella	cinderela \ cinderela
cineres	cinza \ cinzas
cinereum	cinza \ cinzenta \ cinzento \ gris
cinereus	cinza \ cinzento \ gris \ cinzenta
cinetoscopium	cinetoscópio
cingis chan	gengis cã \ gengis cão \ gengis khan
cingischam	gengis khan \ gengis-khan \ gengis cã \ gengis cão \ gengis khan
cingulata	cingulata
cingullum	cíngulo
cingulum	cinto \ cintura \ cinto
cingulum membri superiores	cintura escapular
cingulus asteroidum	cintura de asteroides
cinis	cinza \ cinzas \ brasas \ ruína
cinkas	zinco
cinnamomum	caneleira \ canela \ canela
cinnamon	caneleira
cinnamum	canela \ caneleira \ canela
cinnyricinclus leucogaster	estorninho-de-dorso-violeta
cinorhyncha	kinorhyncha
cinyra	lira
ciphra	cifra
cippus	cepo
cippus sepulcralis	lápide
circa	aproximadamente \ cerca \ ao redor de \ circa
circaetus	circaetus
circaetus gallicus	águia-cobreira \ águia-cobreira
circe	circe \ circe
circinus	compasso \ circinus \ compasso
circueo	contornar
circuitio	patrulha \ patrulhamento
circuitus electricus	circuito elétrico
circuitus electronicus	circuito eletrônico
circuitus franciae	tour de france
circuitus hispaniae	vuelta a españa
circuitus integratus	circuito integrado \ circuito integrado
circulatio minor	circulação pulmonar
circulatio pulmonalis	circulação pulmonar
circulatio pulmonaris	circulação pulmonar
circulatio systemica	grande circulação
circulor	agrupar
circulum	círculo
circulus	círculo \ roda \ circunferência \ circunferência
circulus antarcticus	círculo polar ártico
circulus arteriosus cerebri	círculo arterial cerebral
circulus magnus	círculo máximo \ círculo máximo
circulus parallelus	paralelo
circulus saros	saros
circulus solis vertentis	trópico
circulus vitiosus	círculo vicioso
circum	ao redor de \ em torno de \ em volta de
circumcido	circuncidar
circumcisio	circuncisão \ circuncisão
circumeo	contornar
circumferentia	circunferência \ circunferência
circumflecto	circunflexar
circumfundo	cercar
circumiecta naturalia	meio ambiente
circumlocutio	circunlocução
circumnavigatio	circum-navegação
circumrodo	deixar limpo \ roer
circumsido	sitiar
circumsilio	saltar
circumspectatrix	espiã
circumspecto	espionar
circumspector	espião
circumspectus	circunspecto
circumspicientia	reflexão
circumspicio	ponderar
circumstantia	circunstância
circumtraho	puxar
circumventio	falcatrua \ fraude
circus	círculo \ circo \ circunferência \ circo \ circo \ circo romano \ tartaranhão
circus aeruginosus	tartaranhão-ruivo-dos-pauis \ tartaranhão-ruivo-dos-paúis
circus cyaneus	tartaranhão-azulado \ tartaranhão-azulado
circus macrourus	tartaranhão-de-peito-branco
circus maximus	circus maximus
circus pygargus	tartaranhão-caçador \ tartaranhão-caçador
cirratus	encaracolado \ anelado
cirrhosis hepatis	cirrose hepática \ cirrose hepática
cirrocumulus	cirrocumulus
cirrostratus	cirrostratus
cisarulana	vorarlberg
cisgener	cisgénero
cisiordania	cisjordânia
cisium	gig \ gig
cistaceae	cistáceas
cisterna	cisterna \ cisterna
citatim	depressa \ rapidamente
citatio	chamada
citatus	acelerado \ citação \ convocação
citellus	zizel
cithara	cítara \ guitarra \ violão \ cithara
cithara electrica	guitarra elétrica
cithara gravis	baixo elétrico
cithara havaiana	ukulele \ ukulele \ ukulele
cithara hispanica	guitarra \ viola
cithara italica	cistre
cito	rapidamente \ rápido \ alimentar
citra	antes de \ embaixo de \ neste lado \ neste lado de
citreum	limão
citreus	limão
citroen	citroën
citrullus colocynthis	coloquíntida
citrullus lanatus	melancia \ melancia \ melancia
citrus	citro \ citrus \ fruta cítrica
citrus aurantium	laranjeira
citrus cetra	cidreira
citrus medica	limoeiro
citrus sinensis	laranjeira \ laranja
citrus sphaerocarpa	kabosu
citrus tangerina	tangerina
citrus × bergamia	citrus bergamia
citrus × limon	limão
citrus × paradisi	toronja
ciusium	kyushu
civilis	civil
civilitas	política \ política
civilizatio	civilização \ civilização
civilizatio valis indus	civilização do vale do indo
civis	cidadão \ cidadã \ cidadãos \ cidadão
civitas	cidade \ cidadania \ estado
civitas antiqua	estado extinto
civitas camunnorum	cividate camuno
civitas capitis	cidade do cabo \ cidade do cabo
civitas foederata	estado federado
civitas gdinensis	gdynia
civitas libera	estado livre
civitas neurospastica	estado fantoche
civitas nostra	hino nacional da finlândia
civitas obnoxia	nação constituinte
civitas provectibilis	país em desenvolvimento
civitas statu dubio	estado não reconhecido
civitas sui iuris	teoria constitutiva do estado \ estado soberano
civitas transcontinentalis	país transcontinental
civitas vaticana	vaticano \ cidade do vaticano \ estado da cidade do vaticano \ santa sé
civitates americae unitae	estados unidos da américa
civitates foederatae americae	estados unidos \ estados unidos da américa \ estados unidos \ eua
civitates foederatae mexicanae	estados unidos mexicanos
civitates foederatae micronesiae	estados federados da micronésia
civitates unitae americae	eua \ estados unidos \ estados unidos da américa
civitatum foederatarum americae aeris exercitus	força aérea dos estados unidos
civitatum foederatarum census officium	united states census bureau
clades	derrota \ desgraça \ desastre na guerra, derrota
clades variana	batalha da floresta de teutoburgo
cladus	clado \ clado
clagenfurtum	klagenfurt \ klagenfurt
clamare	gritar
clamator glandarius	cuco-rabilongo
clamatorius	clamoroso
clamo	gritar \ chamar \ clamar
clamor	clamor \ grito \ rebuliço
clandestinus	clandestino \ ilegal \ secreto \ segredo
clanga pomarina	águia-pomarina
clangor	clangor \ ruído \ som
clara petacci	clara petacci
clara wieck schumann	clara schumann
clarinetum	clarinete \ clarinet \ clarinete
claritas	clareza
claritudo	clareza
clarium	chiari
clarum somnium	sonho lúcido
clarus	brilhante \ claro \ iluminado
clarus mons	clermont-ferrand
clasis	classe
classiarius	oficial de classe
classiarus	da marinha
classicare	trombetear
classicula	flotilha
classicum	clássico
classicus	clássico
classificatio	classificação
classificatio biologica	classificação científica
classificationis	classificação
classis	marinha \ frota \ classe \ marinha romana \ classe \ classe social \ marinha
classis aeria	força aérea
classis spectralis	classificação estelar
clastidium	casteggio
claudeo	coxear, mancar
claudeo ''2''	claudicar \ manquejar
claudere	fechar \ cerrar
claudico ''1''	claudicar \ manquejar
claudiocestriensis comitatus	condado de gloucester
claudiopolis	cluj-napoca
claudius	cláudio \ cláudio
claudius aquaviva	claudio acquaviva
claudius debussy	claude debussy
claudius galenus	cláudio galeno \ cláudio galeno
claudius gothicus	cláudio ii
claudius hadrianus helvetius	claude adrien helvétius
claudius hummes	cláudio hummes
claudius monet	claude monet
claudius ptolemaeus	ptolemeu \ ptolemeu
claudo	bloquear \ bloqueio \ cerrar
claudus	capenga \ manco \ coxo
clausa	oração
clausina	chiusa
clauso	clusone
claustellum	buraco da fechadura
claustralis	enclausurado
claustrarius	chaveiro
claustrum	fechadura \ cadeado \ claustro \ claustro
clausum	cadeado \ fechadura \ fecho
clausura	fechadura \ cadeado \ fecho
clausus	fechado
clava ferrea	maça \ porrete#maça
clavassium	chivasso
clavator	rebatedor
claviatura	teclado
claviatura virtualis	teclado virtual
claviceps	esporão-do-centeio
claviceps purpurea	esporão-do-centeio
clavichordium	clavicórdio
clavicula	chave pequena \ chaveiro \ clavícula \ clavícula
clavicymbalista	cravista
clavicymbalum	cravo \ cravo
clavile	piano \ piano
clavilista	pianista
clavis	chave \ clave \ chave
clavis exaequabilis	chave inglesa
clavuli conedendi	hashi
clavus	prego \ unha \ cravo \ prego
clavus cochleatus	parafuso \ parafuso
cleistes divaricata	cleistes divaricata
clemens	clemente
clemens alexandrinus	clemente de alexandria
clemens attlee	clement attlee
clemens i	papa clemente i
clemens ii	papa clemente ii
clemens iii	papa clemente iii
clemens iv	papa clemente iv
clemens ix	papa clemente ix
clemens v	papa clemente v
clemens vi	papa clemente vi
clemens vii	antipapa clemente vii \ papa clemente vii
clemens viii	antipapa clemente viii \ papa clemente viii
clemens x	papa clemente x
clemens xi	papa clemente xi
clemens xii	papa clemente xii
clemens xiii	papa clemente xiii
clemens xiv	papa clemente xiv
clementer	com docilidade \ docilmente
clementia	clemência \ docilidade \ gentileza
clennis	rio clain
cleopatra	cleópatra
cleopatra vii	cleópatra vii
clepere	roubar \ furtar \ gatunar
clepo	descascar \ descobrir \ desvendar
clepsere	furtar \ gatunar \ larapiar
clepsydra	clepsidra \ ampulheta \ relógio de água \ torneira \ ampulheta \ clepsidra
clepta	ladrão
cleptomania	cleptomania
cleptornis marchei	cleptornis marchei
clericalis	clerical \ eclesiástico
clericus	clérigo \ abade \ padre \ sacerdote
clerus	clero \ clero
cleveterra	cleveland
cliens	cliente \ criado \ servente \ estado cliente
client	cliente
clima	clima \ clima
clima alpinum	clima alpino
clima aridum	clima árido
clima continentale	clima continental
climatologia	climatologia
climatologista	climatologista \ climatólogo
climatologistus	climatologista \ climatólogo
clinamen	borda \ costa \ costela \ clinâmen
clinicus	médico \ facultativo \ coveiro
clinopodium vulgare	clinopodium vulgare
clio	clio
clipeum	fita
clipeus	escudo
clipeus aureus	medalha de ouro \ medalha de ouro
clitoris	clítoris \ clítoris
clivus	ladeira \ barranco \ colina
cloaca	cloaca \ esgoto \ cloaca
cloaca maxima	cloaca massima
cloccarium	campanário
clodovicus zu hohenlohe-schillingsfurst	chlodwig karl victor zu hohenlohe-schillingsfürst
clonizatio	clonagem
cloud computing	computação em nuvem
clovis	clóvis i
cludo	trancar
clunes	bunda \ cu \ nádegas
clunis	nádega \ fundilhos \ traseiro
clupea harengus	arenque
clupeoides papuensis	clupeoides papuensis
clura	macaco \ símio
clusura tractilis	zíper \ zíper
clutis	nádega \ traseiro
cnidus	cnido
cnossos	cnossos
cnossus	cnossos
cnossus or cnossos	cnossos
cnuto	canuto ii da dinamarca
coactor	intermediário
coaevalis	contemporâneo
coagulum	coalho \ quimosina \ quimosina
coahuila	coahuila de zaragoza
coalesco	combinar
coax	croac
cobaltum	cobalto \ cobalto
cobitis taenia	verdemã
cobra	cobra
coburgus	coburgo
coca-cola	coca-cola \ coca-cola
cocainum	cocaína \ cocaína
cocanus	cockney
cocceus	escarlate
coccinella	joaninha
coccinellida	joaninha
coccineus	escarlate \ escarlate
coccinia	coccinia
coccothraustes	bico-grossudo
coccothraustes coccothraustes	bico-grossudo
cocculus	cocculus
coccum	carmesim \ carmesim \ fúchsia
coccus	coco
coccyx	cóccix
coccyzus erythropthalmus	cuco-de-bico-preto
coccyzus merlini	saurothera merlini
cochlea	caracol \ caramujo \ cóclea \ caracol \ cóclea
cochlear	colher
cochlearium	colher
cochlearius cochlearius	arapapá
cochleatorstrum	chave de fenda
cocino	cozinhar
coclea	caracol \ caramujo
coclear	colher
cocleare	colher
coclearium	colher
coclearum	colher
coco	cozer
coco coco	cocorocó \ cócórócócóóóó \ cocoricó \ cucurucu
cocos nucifera	coqueiro \ coco \ coqueiro
coctor	cozinheiro \ cozinheira
cocturarius	cozinheiro \ cozinheira
coctus	cozinhado \ cozinhada
cocus	cozinheiro \ cozinheira
coda	cauda \ rabo \ coda \ coda
codex	livro \ lista \ almofada \ codificação \ códice
codex euricianus	código de eurico
codex geneticus	código genético
codex hammurabi	código de hamurabi
codex morsianus	código morse
codicellus	patente
codicillus	codicilo
codicologia	codicologia
codonio	codogno
coefficiens binomialis	coeficiente binomial
coelestis	divindade
coelodonta antiquitatis	rinoceronte-lanudo
coelum	céu \ paraíso
coelus	céu \ paraíso
coemeterium	cemitério \ cimitério
coemgenus federline	kevin federline
coemo	comprar
coemoeterium	cemitério
coendou	coendou
coenobita	frei \ monge
coeo	encontrar \ juntar \ reunir
coepio	começar
coeptus	começo \ início \ princípio
coercere	forçar \ constranger \ ditar
coerulus	azul
coetus	grupo \ coito \ companhia
coetus hic	este grupo
