term	translation
card de identitate	cc \ rg \ carteira de identidade \ cartão de cidadão
card de stocare	cartão de armazenamento \ cartão de memória
cardama	agrião \ agriões
cardamom	cardamomo
cardcaptor sakura	sakura card captors
cardiac	cardíaco
cardiff	cardiff \ cardiff
cardinal	cardeal \ cardinal \ fundamental \ número cardinal
cardinalitate	cardinalidade
cardinalul richelieu	cardeal de richelieu
cardioidă	cardioide \ cardióide \ cardioide
cardiolog	cardiólogo \ cardióloga
cardiologie	cardiologia \ cardiologia
cardiologă	cardióloga
cardon	cardo de coalho \ cardo hortense
cardona	cardona
cardoso	cardoso
cardoso moreira	cardoso moreira
carduus	carduus
cardă	carda \ carda
care	que \ qual \ o que
care are limită	finito
care e în adânc	profundo
care poate fi descoperit	detectável \ detetável
care se cere	compulsório
care zboară	fugaz
carei	carei
careiro	careiro
careli	carélio
carelia	carélia
carelia de nord	carélia do norte
carelia de sud	carélia do sul
carelo	carélio
carelă	carélio \ kareliano
carena	carina
carenă	casco \ quilha
caret	tartaruga-de-pente
careu de 16 metri	grande área
cargou	navio cargueiro \ navio de carga \ navio cargueiro
cariacica	cariacica
cariatidă	cariátide \ cariátide
caribank	banco de desenvolvimento das caraíbas
caribda	cila
caribieni	caraíbas
caribu	caribu
carica	carregar
caricaturist	cartunista \ caricaturista
caricatură	caricatura \ caricatura \ charge \ cartum
caricom	caricom
caridă	camarão
carie	cárie
carie dentară	cárie dentária \ cárie dentária
carieră	pedreira \ carreira
carieră de piatră	pedreira \ pedreira
carieră profesională	carreira profissional
carintia	caríntia \ caríntia
carinus	carino
cariocecus	cariocecus
cariocă	marcador \ caneta hidrográfica
cariofilacee	cariofiláceas
cariopsă	cariopse
cariotip	cariótipo
carira	carira
cariri do tocantins	cariri do tocantins
carismatic	carismático \ charmoso \ encantador \ simpático
carismă	carisma
caritate	caridade \ beneficência
carl benz	karl benz
carl bosch	carl bosch
carl david anderson	carl david anderson
carl friedrich abel	karl friedrich abel
carl friedrich gauss	carl friedrich gauss
carl gustaf emil mannerheim	carl gustaf emil mannerheim
carl gustav jacob jacobi	carl gustav jakob jacobi
carl gustav jung	carl gustav jung
carl linné	carolus linnaeus
carl menger	carl menger
carl orff	carl orff
carl sagan	carl sagan
carl schmitt	carl schmitt
carl spitteler	carl spitteler
carl wilhelm scheele	carl wilhelm scheele
carlina	carlina
carlingă	cabine de pilotagem
carlisle	carlisle
carlo azeglio ciampi	carlo azeglio ciampi
carlo collodi	carlo collodi
carlo pedersoli	bud spencer
carlo ponti	carlo ponti
carlos alberto fernandes	carlos alberto fernandes
carlos barbosa	carlos barbosa
carlos chagas	carlos chagas
carlos gardel	carlos gardel
carlos gomes	carlos gomes
carlos moya	carlos moyà
carlos pace	josé carlos pace
carlos reutemann	carlos reutemann
carlos tévez	carlos tévez
carly colón	carly colon
carmen	carmen
carmena	carmena
carmin	carmim \ carmesim \ carmim
carmo	carmo
carmo do rio claro	carmo do rio claro
carmo do rio verde	carmo do rio verde
carmolândia	carmolândia
carmona	carmona
carmópolis	carmópolis
carnaj	massacre
carnaval	carnaval \ carnaval
carne	carne \ vianda \ carne
carne de bivol	carne de búfalo
carne de cal	carne de cavalo
carne de capră	carne de caprino
carne de câine	carne de cachorro
carne de iepure	carne de coelho
carne de oaie	carne de ovino
carne de pasăre	carne de aves de capoeira
carne de porc	carne de suíno \ porco
carne de tun	bucha de canhão \ carne de canhão \ carne para canhão
carne de vită	carne de vaca
carne de viţel	vitela
carne de vânat	carne de caça
carne dezosată	carne limpa
carne proaspătă	carne fresca
carne tocată	carne moída
carneiros	carneiros
carneol	cornalina
carnet de cecuri	talão de cheques
carnet de note	boletim
carnet de sănătate	cartão sanitário
carnivor	carnívoro
carnivoră	carnívoro
carnotit	carnotita
caro	ouros
caroebe	caroebe
caroiaj	tessellator
carol	carlos
carol al ii-lea al angliei	carlos ii de inglaterra
carol al ii-lea al româniei	carlos ii da romênia
carol al ii-lea al spaniei	carlos ii de espanha
carol al iii-lea al spaniei	carlos iii de espanha
carol al iv-lea	carlos iv
carol al v-lea al franței	carlos v de frança
carol al v-lea de lorena	carlos v
carol al vi-lea	carlos vi
carol al vii-lea	carlos vii
carol al x-lea al franței	carlos x de frança
carol al xiii-lea al suediei	carlos xiii da suécia
carol cel mare	carlos magno \ carlos magno
carol cel pleșuv	carlos ii de frança
carol i al angliei	carlos i da inglaterra
carol i al austriei	carlos i da áustria
carol martel	carlos martel
carol quintul	carlos i de espanha
carol robert	carlos i da hungria
carola häggkvist	carola häggkvist
carolina de nord	carolina do norte
carolina de sud	carolina do sul
caroserie	carroçaria
caroten	caroteno \ caroteno
carotenoidă	carotenoide
carotă	cenoura
carp	carpo \ carpo
carpathian forest	carpathian forest
carpați	cárpatos
carpelă	carpelo
carpen	carpino
carpina	carpina
carrancas	carrancas
carrara	carrara
carrasco bonito	carrasco bonito
carrefour	carrefour
carriches	carriches
carroll baker	carroll baker
carson city	carson city
carst	carste \ carste
carta africană a drepturilor omului și popoarelor	carta africana dos direitos do homem e dos povos
carta de la havana	carta de havana
carta drepturilor fundamentale a uniunii europene	carta dos direitos fundamentais da união europeia
carta drepturilor omului	carta dos direitos do homem
carta europeană a energiei	carta europeia da energia
carta europeană privind drepturile sociale fundamentale ale salariaților	carta comunitária dos direitos sociais fundamentais dos trabalhadores
carta onu	carta das nações unidas
carta organizației națiunilor unite	carta das nações unidas
carta socială europeană	carta social europeia
cartagena	cartagena
cartagena de indias	cartagena das índias
cartagina	cartago \ cartago
cartago	cartago
cartaxo	cartaxo
carte	livro \ cartão \ carta \ livro
carte albă	documento técnico \ white paper
carte audio	audiolivro
carte de bucate:cuprins	livro de cozinha
carte de credit	cartão de crédito
carte de identificare	crachá
carte de identitate	carteira de identidade \ cc \ rg \ documento de identidade
carte de joc	carta de baralho \ carta
carte de oaspeţi	livro de convidados \ página de recados \ livro de convidados \ página de recados
carte de rugăciuni	missal
carte de telefon	catálogo telefônico \ lista telefônica
carte de vizită	cartão de contacto \ cartão de visita \ cartão de visita
carte de vizită electronică	cartão de visita eletrónico \ cartão de visita eletrônico
carte electronică	e-book \ livro eletrônico
carte poştală	cartão-postal
carte în format electronic	ebook \ livro eletrônico \ e-book \ livro eletrônico
cartea funciară	registro de imóveis
cartel	cartel \ cartel
cartel internațional	acordos e práticas concertadas internacionais
cartelă acceleratoare	placa aceleradora
cartelă compactflash	cartão compactflash
cartelă de date	cartão de dados
cartelă de memorie cu acces aleatoriu	placa ram \ placa de memória de acesso aleatório
cartelă de stocare	cartão de armazenamento \ cartão de memória
cartelă digitală securizată	cartão sd \ cartão sd (secure digital)
cartelă memorie flash	cartão de memória flash
cartelă perforată	cartão perfurado
cartelă preplătită	cartão pré-pago
cartelă împăturită tip prismă	cartão de dobrar \ prisma de mesa
cartelă împăturită în partea de sus	cartão com dobra superior \ cartão com dobra em cima
cartelă împăturită într-o parte	cartão com dobra lateral \ cartão com dobra lateral
carter	cárter
cartier	bairro
cartier de afaceri	centro
cartier general	quartel-general
cartier mărginaș	bairro de lata
cartilaj	cartilagem \ tecido cartilaginoso
cartof	batata \ batatinha \ marmêndoa
cartofi pai	frita
cartofi prăjiţi	batatas fritas
cartograf	cartógrafo
cartografic	cartográfico
cartografie	cartografia \ cartografia
cartografiere proeminenţe	bump mapping \ mapeamento de rugosidade
carton	papelão \ cartão \ papelão
cartonaș galben	cartão amarelo
cartonaș roșu	cartão vermelho
cartoon network	cartoon network
cartuş de memorie	cartucho de memória
cartuș	cartucho \ cartucho
cartuș orb	festim
cartă europeană	carta europeia
cartă internațională	carta internacional
caruaru	caruaru
carul mare	caçarola \ grande carro
carus	marco aurélio caro
carusel	carrossel
carvacrol	carvacol
carven	carven
casa	casa
casa albă	casa branca \ casa branca
casa grande	casa grande
casa leinster	leinster house
casa milà	casa milà
casablanca	casablanca \ casablanca
casandra	cassandra \ cassandra
casanova	giacomo casanova
casant	quebradiço
casap	açougueiro \ carniceiro
casariche	casariche
casas-ibáñez	casas-ibáñez
casasbuenas	casasbuenas
cascada angel	salto ángel
cascada niagara	cataratas do niágara \ cataratas do niágara
cascada victoria	parque nacional de victoria falls
cascading style sheets	cascading style sheets
cascador	dublê
cascadã	cascata
cascadă	cascata \ cachoeira \ queda-d'água \ catarata
cascaval	cascaval
cască	elmo \ capacete \ auscultador \ fone \ capacete
caseara	caseara
caserta	caserta
caseta către	caixa de destinatário
casetofon	magnetofone
casetă	cassete
casetă audio	cassete áudio \ fita cassete
casetă combo	caixa de combinação
casetă combo verticală	caixa de combinação pendente \ caixa de combinação suspensa
casetă cu detalii	caixa de dados \ caixa de factos
casetă de căutare	caixa de pesquisa
casetă de dialog	caixa de diálogo
casetă de dialog de confirmare	caixa de diálogo de confirmação
casetă de dialog interactivă	caixa de diálogo interativa
casetă de expresii	caixa de expressão \ caixa de expressões
casetă de scindare	caixa de divisão
casetă de selectare	caixa de seleção \ caixa de verificação
casetă grupare	caixa de grupo
casetă listă cu selecții multiple	caixa de listagem de seleção múltipla
casetă listă verticală	caixa de lista pendente \ caixa de listagem suspensa
casetă panoramare	caixa de zoom \ caixa zoom
casetă video	videocassete
cash and carry	atacado-varejista
cashback	cashback
cashflow	fluxo de caixa
casier	caixa
casimiro de abreu	casimiro de abreu
casio	casio
casiterit	cassiterita
casnică	dona de casa \ dona-de-casa \ doméstica
caspar david friedrich	caspar david friedrich
cassia	cassia \ cassia
cassiel	cassiel
cassilândia	cassilândia
cassinia	cassinia
cassiopeia	cassiopéia
cast	puro \ casto
casta kșatriya	xátria
castan	castanheiro \ castanheiro-da-índia \ castanha-da-índia \ castanheira-da-índia
castan comestibil	castanha \ castanheiro
castan sălbatic	castanha-da-índia \ castanheira-da-índia \ castanheiro-da-índia \ castanheiro-da-índia
castanhal	castanhal
castaniete	castanhola \ castanhola
castanietă	castanhola
castană	castanha \ castanha
castană comestibilă	castanha
castel	castelo
castel de apă	caixa-d'água \ castelo d'água
castelele augustusburg și falkenlust	castelos de augustusburg e de falkenlust em brühl
castelfranco veneto	castelfranco veneto
castellum	castelo
castelândia	castelândia
castilho	castilho
castilia	castela
castilia - la mancha	castela e mancha
castilia - leon	castela e leão
castilia-la mancha	castilla-la mancha
castillo de bayuela	castillo de bayuela
castitate	castidade
castra	castrar \ capar
castrare	castração
castravete	pepino \ pepineiro
castravete murat	picles
castro	castro
castro de filabres	castro de filabres
castron	tigela \ jarro \ jarra \ malga
castru	castrum
castă	casta \ kasta \ casta
casu marzu	casu marzu
casus belli	casus belli
casă	casa \ lar
casă bântuită	casa assombrada
casă de amanet	penhor
casă de bani	cofre \ cofre
casă de bilete	bilheteria
casă de discuri	editora discográfica
casă de discuri independentă	gravadora independente
casă de discuri virtuală	netlabel
casă de vacanță	casa de verão
casă de îngrijire paleativă	hospice
casă natală	casa natal
casă pasivă	casa passiva
cat	andar \ como \ quanto \ cat
catabolism	catabolismo
cataclism	cataclisma
catacombe	catacumba
catacombă	catacumba
cataguases	cataguases
catalan	catalão
catalane	catalão
catalani	catalão
catalană	catalão
catalepsie	catalepsia patológica \ catalepsia patológica
catalina	catarina \ cátia \ kátia
catalitic	catalítico
catalizator	catalisador \ catalisador \ catálise
cataliză	catálise
catalog	catálogo
catalog agregat	catálogo agregado
catalog al setului copie de rezervă	catálogo de conjunto de backup \ catálogo de conjuntos de cópias de segurança
catalog astronomic	catálogo astronômico
catalog bibliografic	catálogo
catalog de bază	catálogo base
catalog de internet	diretórios de sites
catalog de macrocomenzi	catálogo de macros
catalog de produse	catálogo de produtos
catalog global	catálogo global
catalog global active directory	catálogo global do active directory
catalog microsoft update	catálogo microsoft update \ catálogo do microsoft update
catalog stelar	catálogo de estrelas
catalogare	catalogação
catalonia	catalunha \ catalunha
catalpă	catalpa
catalyst	catalyst
catalão	catalão
catamenia	catamenia
catananche	catananche
catandica	catandica
catanduva	catanduva
catania	catânia
catanzaro	catanzaro
catapeteasmă	iconóstase
catapulta	catapultar
catapultă	catapulta \ catapulta
cataractă	catarata \ catarata
catarg	mastro \ mastro
catastrofal	catastrófico
catastrofic	catastrófico
catastrofică	catastrófico
catastrofă	catástrofe \ desastre
catastrofă naturală	desastre natural
catatonie	catatonia \ catatonia
catch	catch
catching up with depeche mode	catching up with depeche mode
catedra lui petru	cátedra de são pedro
catedrala westminster	abadia de westminster
catedrala și bazarul	a catedral e o bazar
catedrală	catedral \ catedral
categoria clic rapid	categoria clique rápido \ categoria de clique rápido
categoria grupurilor abeliene	categoria de grupos abelianos
categoria spațiilor vectoriale	categoria dos módulos
categoric	absolutamente \ indubitavelmente \ sem dúvida
categorie	categoria
categorie abeliană	categoria abeliana
categorie de culoare	categoria de cores
categorie fiu	categoria filho
categorie socială defavorizată	categoria social desfavorecida
categorie socio-profesională	categoria socioprofissional
categorie:pedepse corporale	castigo corporal
categorie:telefonie mobilă	categoria:telefonia móvel
categorii	categoria \ categorias
categoriile în funcție de greutate la box	categorias de peso do boxe
categorisi	classificar \ categorizar
categoriza	atribuir
categorizator	categorizador
catehism	catecismo \ catecismo
catenoidă	catenóide
catenă	cordilheira
caterina	catarina \ cátia \ kátia
catering	restaurantes e afins
caterpillar inc.	caterpillar inc.
cateter	cateter
catetă	cateto
catharsis	catarse \ catarse
cathartic	catártico
cathay pacific	cathay pacific
catherine de aragon	catarina de aragão
catherine deneuve	catherine deneuve
catherine howard	catarina howard
catherine parr	catarina parr
catifea	veludo
catifelat	aveludado
catiguá	catiguá
cation	catião \ cátion \ catião
catkin	catkin
cato cel bătrân	catão
catod	cátodo \ catódio \ cátodo
catolic	católico
catolicism	catolicismo
catren	quadra \ quarteto \ tetrástico \ quadra poética
catrina	catarina \ cátia \ kátia
cattle decapitation	cattle decapitation
cattolica	cattolica
catu	catu
caturaí	caturaí
catuípe	catuípe
catâr	mula \ mulo \ mula
caucaia	caucaia
caucaz	cáucaso \ cáucaso
caucazian	caucasiano \ caucasiana
caucaziană	caucasiana \ caucasiano
cauciuc	pneu \ borracha \ cautchu
cauciuc natural	borracha natural
cauciuc sintetic	borracha sintética
caudal	caudal
caudete	caudete
causing a commotion	causing a commotion
caustic	cáustico \ ácrido
cauza	causar \ provocar
cauzalitate	causalidade \ análise de causas
cauze naturale	causas naturais
cauzele celui de-al doilea război mondial	causas da segunda guerra mundial
cauzele primului război mondial	causas da primeira guerra mundial
cauză	causa \ razão \ motivo
cava	cava
cavalcante	cavalcante
cavaler	cavaleiro \ cavalaria \ cavaleiro
cavalerie	cavalaria \ cavalheirismo \ cavalaria
cavalerism	cavalheirismo
cavalla	cavala
cavalle	cavala
cavernă	caverna \ gruta
caviar	caviar \ caviar
cavitate abdominală	cavidade abdominal
cavitate bucală	boca \ boca
cavitație	cavitação \ cavitação
caxambu	caxambu
caxias	caxias
caxias do sul	caxias do sul
cayenne	caiena \ caiena
cayman	ilhas cayman
caz	caso \ ocorrência \ incidente \ caso gramatical
caz acuzativ	acusativo
caz comitativ	caso comitativo \ comitativo
caz dativ	caso dativo \ dativo
caz judiciar	processo judicial
caz nominativ	caso nominativo \ nominativo
cazac	cossaco \ cossaco
cazacă	cazaque
cazalegas	cazalegas
cazan	caldeira \ caldeira
cazanie	sermão
cazare	alojamento \ hospedagem
cazarma	caserna \ quartel
cazarmă	base
cazeină	caseína \ caseína
cazemată	casamata
cazier judiciar	registo criminal
cazinou	casino \ cassino \ casino
cazma	pá
caznă	guerra
cazual	casual
cazuar	casuar \ casuar
cazuistică	casuística
cazul ablativ	ablativo \ caso ablativo
cazul acuzativ	acusativo \ caso acusativo
cazul dativ	caso dativo \ caso dativo
cazul genitiv	caso genitivo \ genitivo \ caso genitivo
cazul instrumental	caso instrumental
cazul locativ	caso locativo \ locativo \ caso locativo
cazul nominativ	caso nominativo
cazul vocativ	caso vocativo \ vocativo \ caso vocativo
cazul vokativ	vocativo
cazuri	caso
caála	caála
caçapava	caçapava
caçapava do sul	caçapava do sul
caçu	caçu
cañada rosal	cañada rosal
caş	queijo
caşcaval	queijo
caşmir	caxemira
cașalot	cachalote \ cachalote
cașmir	casimira \ caxemira
cașubian	cachúbio \ cassubiano
cașubiană	cachúbio \ cassubiano
cașă	mingau
cbct	tomografia computadorizada de feixe cônico
cbs	columbia broadcasting system
cc	cc
ccache	ccache
cccc	cccc
ccrypt	ccrypt
cd	cd \ cedê
cd-rom	cd-rom
cdiff	cdiff
cdma	cdma
cdrkit	cdrkit
cdrtools	cdrtools
ce	que \ o que \ qual
ce căcat	que merda
ce mai faceţi	como está \ como estás
ce mai faci	como está \ como estás \ como está
ce principat	ce principat
ce pula mea	que porra
ce păcat	que pena
ce sloboz	que porra
ce vârstă aveți	qual a sua idade \ quantos anos você tem
cea	a \ as \ o \ os
cea a cincea	quinta \ quinto
cea a noua	nona \ nono
cea a opta	oitava \ oitavo
cea a patra	quarta \ quarto
cea a unsprezecea	undécimo
cea a zecea	décimo \ décima
cea a șaptea	sétima \ sétimo
cea a șasea	sexta \ sexto
cea de a treia	terceiro \ terceira
cea mai recentă versiune	versão mais recente \ última versão
cea mai veche profesie din lume	mais velha profissão do mundo
ceafă	nuca \ nuca
ceai	chá \ folha de chá \ chá ·chá-da-índia
ceai alb	chá branco
ceai galben	chá amarelo
ceai negru	chá preto \ chá preto
ceai oolong	oolong
ceai verde	chá verde
ceainic	bule \ chaleira \ bule
ceainărie	casa de chá
ceainărie-cofetărie	casa de chá
ceapă	cebola \ cebola
ceapă-ciorească	cebolinha
cearceaf	lençol
ceartă	discussão \ querela \ briga
ceará	ceará
ceară	cera \ ceroso \ céreo \ cera
ceară de albine	cera de abelha
ceară pierdută	cera perdida
cearșaf	lençol
ceas	relógio \ hora \ pêndulo
ceas astronomic	relógio astronômico
ceas atomic	relógio atômico
ceas cu alarma	despertador
ceas cu brățară	relógio de braço
ceas cu nisip	ampulheta
ceas de activare	relógio de ativação
ceas de apă	relógio de água
ceas de buzunar	relógio de bolso \ relógio \ relógio de bolso
ceas de gardă	watchdog
ceas de mână	relógio de braço
ceas deșteptător	despertador \ despertador
ceas electronic	relógio de quartzo
ceas internaţional	relógio internacional \ relógio universal
ceas solar	relógio de sol \ relógio solar \ relógio de sol \ solário
ceas în timp real	relógio em tempo real
ceaslov	livro de horas \ horas \ livro de horas
ceasornic	relógio \ maracujazeiro
ceasornicar	relojoeiro
ceaun	caldeirão
ceaşcă	xícara \ chávena \ taça
ceaţă	nevoeiro \ névoa \ neblina \ bruma
ceașcă de ceai	xícara de chá
cebu	cebu
cebuană	cebuano
cec	cheque \ ceco \ cheque
cec instrument de plată	cheque
cecen	checheno \ tchetcheno
ceceni	chechenos \ tchetchenos
cecenia	chechênia \ chechénia
cecenă	checheno \ tchetcheno
cecidie	bugalha \ bugalho \ cecídia
cecil frank powell	cecil frank powell
cecil rhodes	cecil rhodes
cecilia bartoli	cecilia bartoli
ceco	ceca
cecum	ceco
cedefop	cedefop \ agências da união europeia
cedro de são joão	cedro de são joão
cedro do abaeté	cedro do abaeté
cedru	cedro
ceea	aquela \ aquele \ essa
ceea ce trebuia demonstrat	como queríamos demonstrar \ quod erat demonstrandum
ceea ce vezi e ceea ce vei obţine	o que você vê é o que você tem
ceelbuur	ceelbuur
ceerigaabo	erigavo
cefaclor	cefaclor
cefalee	cefaleia
cefalexin	cefalexina
cefalonia	cefalônia
cefalorahidian	cefalorraquidiano \ cerebrospinal \ da medula espinal
cefalotorace	cefalotórax
cefeu	cefeu \ cepheus
cefta	cefta
cefuroxime	cefuroxima
cegă	acipenser ruthenus
ceh	tcheco \ tcheco \ tcheca
cehe	tcheca \ tchecas \ tcheco
cehi	tcheca \ tchecas \ tcheco \ tchecos
cehia	chéquia \ república checa \ tchéquia \ república tcheca
ceho-slovacia	checo-slováquia \ tcheco-slováquia
cehoaice	tcheca \ tchecas \ tcheco \ tchecos
cehoaică	tcheca \ tcheco \ tcheca
cehoslavacia	checoslováquia
cehoslovac	checoslovaco \ tchecoslovaco
cehoslovacia	checoslováquia \ checoslováquia \ tchecoslováquia
cehă	tcheco \ checo \ tcheco
cei 26 de martiri de la nagasaki	os 26 mártires do japão
cei 70 de apostoli	setenta discípulos
cei din jurul meu	pessoas ao meu redor \ pessoas em meu redor
cei fără adăpost	sem-abrigo
cei mai mulți	maioria
cei trei muschetari	os três mosqueteiros
cei șapte zei ai norocului	os sete deuses da sorte
ceilalți	outros
cel	o \ a \ as \ os
cel al cincilea	quinta \ quinto
cel al nouălea	nona \ nono
cel al optulea	oitava \ oitavo
cel al patrulea	quarta \ quarto
cel al unsprezecelea	undécimo
cel al zecelea	décimo \ décima
cel al șaptelea	sétima \ sétimo
cel al șaselea	sexta \ sexto
cel de al treilea	terceiro \ terceira
cel mai des	quase sempre
cel mai din urmă	mais atrasado \ mais recente \ último
cel mai mare	muito grande \ muito grande
cel mai mare divizor comun	máximo divisor comum
cel mai mic	muito pequeno \ muito pequeno
cel mai mic multiplu comun	mínimo múltiplo comum
cel mai potrivit	melhor opção \ melhor proposta
cel puţin	ao menos \ pelo menos \ sequer
cela	esse \ aquele \ aquela
cele	a \ as \ o \ os
cele 95 de teze	95 teses
cele 99 de nume ale lui allah	noventa e nove nomes de alá
cele paisprezece puncte	quatorze pontos
cele trei legi ale roboticii	leis da robótica
cele trei regate ale coreei	três reinos da coreia
cele treisprezece colonii	treze colônias
cele zece porunci	dez mandamentos \ dez mandamentos \ dez mandamentos
cele șapte minuni ale lumii	sete maravilhas do mundo
cele șapte vârfuri	sete cumes
celebra	celebrar \ comemorar \ festejar
celebrare	celebração
celebritate	celebridade
celebru	famoso \ célebre \ notável
celecoxib	celecoxib
celestia	celestia
celestina	celestina
celestină	celestina
celestă	celesta \ celesta
celiabinsk	cheliabinsk \ tcheliabinsk
celiachie	doença celíaca
celibat	celibato \ celibato
celibatar	solteiro \ pessoa solteira
celine dion	céline dion
celje	celje
cell broadcast	difusão celular \ difusão celular
celle	celle
cellino san marco	cellino san marco
celmisia	celmisia
celofan	celofane \ celofane
celsius	grau celsius
celt	celtas
celta de vigo	real club celta de vigo
celtic	céltico \ céltica \ celta \ celta \ celta \ céltica
celtic f.c.	celtic football club
celtic frost	celtic frost
celtă	celta \ céltico
celular	telemóvel \ celular \ telefone
celulită	celulite \ celulite
celuloză	celulose \ celulose
celulă	célula \ cela \ cell \ célula
celulă albă	célula branca \ glóbulo branco \ leucócito
celulă casă	casa de destino \ célula inicial
celulă container	célula base \ célula de retenção
celulă cu asociere unică	célula com mapeamento individual \ célula com mapeamento único
celulă electrochimică	célula eletroquímica
celulă fotovoltaică	pilha fotovoltaica
celulă glială	neuróglia
celulă liberă	célula vazia
celulă natural killer	célula exterminadora natural
celulă nervoasă	neurónio \ neurônio
celulă sanguină	célula sanguínea
celulă solară	célula solar
celulă sușă	célula estaminal \ célula-tronco
celulă vegetală	célula vegetal
celți	celta \ celtas
cementită	cementita \ cementita
cena	jantar
cenelec	cenelec
cenizate	cenizate
cenon	cenon
cenotaf	cenotáfio \ cenotáfio
cenozoic	cenozóico
censor.net	censor.net
cent	cêntimo \ cent
centaur	centauro \ centauro \ centauro
centaurea	centaurea
centaurodendron	centaurodendron
centaurul	centaurus
centenar	centenário
centi	centi
centimetri cubi	centímetro cúbico
centimetru	centímetro \ centímetro
centimetru cub	centímetro cúbico
centimetru pătrat	centímetro quadrado
centiped	quilópode \ centopéia \ centopeia \ centípede
centipede	centopeia
centisunet	cent
centos	centos
centra	centrar
centrafrican	centro-africano
centrafricană	centro-africano
central	central \ cidade de victoria
central intelligence agency	central intelligence agency \ central intelligence agency
central perk	central perk
central plaza	central plaza
centralism	centralismo
centralizarea informațiilor	centralização da informação
centralizator stare	status summarizer
centrală	sede \ matriz
centrală atomică	central nuclear
centrală electrică	usina \ central eléctrica \ usina de energia \ central eléctrica
centrală electrică geotermică	central geotérmica
centrală electroeoliană	aerogerador
centrală nucleară	central nuclear
centrală solară	energia heliotérmica
centrală telefonică	central telefônica \ central telefônica
centrală telefonică privată	private branch exchange \ central privada de comutação telefônica
centrica	centrica plc
centriol	centríolo
centrism	terceira via
centrozom	centrossoma \ centrossoma
centru	centro \ cerne \ baixa \ centro
centru ajutor	centro de ajuda \ recursos da ajuda
centru civic	downtown \ downtown \ centro
centru comercial	centro comercial \ centros comerciais \ shopping center \ shopping center
centru comercial electronic	shopping eletrônico \ shopping online
centru comercial en-gros	mercado grossista nacional
centru de acţiune	central de ações \ centro de ação
centru de ajutor	central de ajuda
centru de aprobare	centro de aprovação
centru de asistenţă	centro de suporte
centru de autorizare	central de confiabilidade \ centro de fidedignidade
centru de calcul	centro de cálculo
centru de conferinţe	centro de conferências
centru de cost	centro de custo \ centro de custos
centru de cumpărături	centro comercial
centru de date	centro de dados \ data center
centru de detenție pentru tineri	centro educativo
centru de distribuire chei	centro de distribuição de chaves
centru de documentare	centro de documentação
centru de informare	centro de informação
centru de masă	centro de massas
centru de oraș	centro
centru de partajare media	central de compartilhamento de mídia \ centro de partilha de multimédia
centru de performanţă	centro de desempenho \ controle de desempenho
centru de raportare	central de relatórios
centru de reţea	central de rede \ centro de rede
centru de roluri	centro de funções \ centro de perfil
centru de simplificare acces	central de facilidade de acesso \ centro de facilidade de acesso
centru de sincronizare	central de sincronização \ centro de sincronização
centru de suport şi asistenţă	centro de ajuda e suporte
centru de încărcări microsoft office	centro de carregamento do microsoft office
centru de încărcări office	centro de carregamento do office
centru de întâmpinare	centro de boas-vindas
centru financiar	centro financeiro
centru medical	centro de saúde
centru microsoft de protecție împotriva software-ului rău intenționat	centro microsoft de proteção contra software maligno \ centro de proteção contra malware da microsoft
centru pentru membrii windows mobile	clube windows mobile
centru politic	centro \ centro político
centru urban	aglomerado urbano
centru windows de partajare media	central de compartilhamento de mídia do windows \ centro de partilha de multimédia do windows
centru windows pentru mobilitate	windows mobility center
centru-atacant	centroavante
centru-dreapta	centro-direita
centru-stânga	centro-esquerda
centrul cercului înscris unui triunghi	incentro
centrul comun de cercetare al uniunii europene	centro comum de investigação
centrul de descărcare microsoft	centro de download da microsoft \ centro de transferências da microsoft
centrul de dezvoltare pentru asia și pacific	centro de desenvolvimento para a ásia e o pacífico
centrul de traduceri pentru organismele uniunii europene	centro de tradução dos organismos da união europeia
centrul european al întreprinderilor cu participare publică	confederação europeia das empresas públicas
centrul european de monitorizare a drogurilor și a dependenței de droguri	observatório europeu da droga e da toxicodependência
centrul european pentru cercetare și documentare parlamentară	centro europeu de investigação e documentação parlamentares
centrul european pentru observații din satelit	centro de satélites da união europeia
centrul european pentru prevenirea și controlul bolilor	centro europeu de prevenção e de controlo das doenças
centrul internațional de comerț	centro de comércio internacional
centrul internațional pentru reglementarea diferendelor privind investițiile	centro internacional para a resolução de diferendos relativos a investimentos
centrul istoric	centro histórico
centrul onu pentru dezvoltare	centro das nações unidas para o desenvolvimento regional
centrul pentru dezvoltarea întreprinderilor	centro de desenvolvimento empresarial
centura	cinto
centura scapulară	cintura escapular
centurie	centúria \ centúria
centurion	centurião \ centurião
centură	cinto \ cinta
centură de asteroizi	cintura de asteroides
centură de lestare	cinto de lastro
centură de ocolire	rodoanel
centură de siguranță	cinto de segurança
cenuşiu	cinza
cenuşă	cinza
cenușă vulcanică	cinza vulcânica
cenușăreasa	cinderela \ cinderela
cenușăreasă	cinderela
cenzor	censor
cenzura	censurar
cenzură	censura \ censura \ censura
cephalocereus	cephalocereus
cept	cept
cepșoare	cebolinha
cer	céu \ olimpo \ alturas
cera	encerar
ceramic	cerâmico
ceramică	cerâmica \ cerâmica
ceramică tehnică	cerâmica técnica
ceratonia	ceratonia
cerb	veado \ cervo \ cervo m
cerb comun	cervo \ veado
cerb cu coadă albă	cariacu
cerb lopătar	gamo
cerb-lopătar	gamo
cerber	cérbero
cerbice	nuca
cerc	círculo \ circo \ aro
